temp-global, temp-city,mov--avg-city,moving-avg-global
8.37,25.88,26.284,8.638
8.63,26.84,26.476,8.628
8.64,,,8.596
8.87,,,8.62
8.56,,,8.614
8.63,,,8.666
8.28,,,8.596
8.73,,,8.614
8.77,,,8.594
8.73,,,8.628
8.58,,,8.618
8.8,,,8.722
8.75,,,8.726
8.86,,,8.744
8.41,,,8.68
8.53,,,8.67
8.6,,,8.63
8.7,,,8.62
8.52,,,8.552
8.6,,,8.59
8.7,,,8.624
8.6,,,8.624
8.5,,,8.584
8.95,,,8.67
8.47,,,8.644
8.74,,,8.652
8.35,,,8.602
8.85,,,8.672
8.69,,,8.62
8.73,,,8.672
8.98,,,8.72
9.17,,,8.884
8.64,,,8.842
9.03,,,8.91
8.69,,,8.902
8.66,,,8.838
8.83,,,8.77
8.99,,,8.84
9.2,,,8.874
8.92,,,8.92
9.23,,,9.034
9.18,,,9.104
8.84,,,9.074
8.87,,,9.008
9.04,,,9.032
9.35,,,9.056
9.04,,,9.028
9.2,,,9.1
9.52,,,9.23
9.29,,,9.28
9.2,,,9.25
9.41,,,9.324
9.57,,,9.398
9.53,,,9.4
9.32,,,9.406
9.7,,,9.506
9.53,,,9.53
9.73,,,9.562
9.43,,,9.542
9.51,,,9.58
9.7,,,9.58
9.52,,,9.578
9.51,,,9.534
9.61,,,9.57
9.57,,,9.582
9.83,,,9.608
