year,city-jaipur,global,city-moving-avg,global-moving-avg
1982,25.46,8.64,25.689,8.757
1983,24.99,9.03,25.623,8.765
1984,25.62,8.69,25.61,8.787
1985,26.09,8.66,25.711,8.779
1986,25.6,8.83,25.713,8.827
1987,26.73,8.99,25.826,8.841
1988,26.5,9.2,25.928,8.892
1989,25.76,8.92,25.914,8.911
1990,25.77,9.23,25.86,8.936
1991,25.99,9.18,25.851,8.937
1992,25.73,8.84,25.878,8.957
1993,26.32,8.87,26.011,8.941
1994,25.92,9.04,26.041,8.976
1995,26.13,9.35,26.045,9.045
1996,25.79,9.04,26.064,9.066
1997,24.83,9.2,25.874,9.087
1998,26.27,9.52,25.851,9.119
1999,26.42,9.29,25.917,9.156
2000,26.43,9.2,25.983,9.153
2001,26.02,9.41,25.986,9.176
2002,27.03,9.57,26.116,9.249
2003,26.03,9.53,26.087,9.315
2004,26.64,9.32,26.159,9.343
2005,25.77,9.7,26.123,9.378
2006,26.43,9.53,26.187,9.427
2007,26.27,9.73,26.331,9.48
2008,25.88,9.43,26.292,9.471
2009,26.92,9.51,26.342,9.493
2010,26.82,9.7,26.381,9.543
2011,25.92,9.52,26.371,9.554
2012,25.88,9.51,26.256,9.548
2013,26.84,9.61,26.337,9.556
